,,,,,,,
,,,,,,,
,,,,,,,
Project Number Name,Project Number,Project Name,Exe Proj Region,Project Description,Category,Charging,Project Status
505859: INTEL D1D RP1 UV PAN (1. Backlog Project),505859,INTEL D1D RP1 UV PAN,NAM,,1. Backlog Project,,Active
505864: EMEA PETERBOROUGH - (1. Backlog Project),505864,EMEA PETERBOROUGH -,NAM,,1. Backlog Project,,Active
505867: MSD BIO TANK ENG.-EN (1. Backlog Project),505867,MSD BIO TANK ENG.-EN,ANZ,,1. Backlog Project,,Active
505872: BIOMETHANATION CENTE (1. Backlog Project),505872,BIOMETHANATION CENTE,NAM,,1. Backlog Project,,Active
505875: EXXONMOBIL SINGAPORE (1. Backlog Project),505875,EXXONMOBIL SINGAPORE,ANZ,,1. Backlog Project,,Active
505876: BAGLAN BAY BOO - DEL (1. Backlog Project),505876,BAGLAN BAY BOO - DEL,NAM,,1. Backlog Project,,Active
505884: SWTS - INTEL D1C CUB (1. Backlog Project),505884,SWTS - INTEL D1C CUB,EUR,,1. Backlog Project,,Active
505893: LOYALIST BATH WTP-EN (1. Backlog Project),505893,LOYALIST BATH WTP-EN,NAM,,1. Backlog Project,,Active
505918: EXXON DPRO 15CNM-ENG (1. Backlog Project),505918,EXXON DPRO 15CNM-ENG,EUR,,1. Backlog Project,,Active
505925: INTEL D1X POR VAC PU (1. Backlog Project),505925,INTEL D1X POR VAC PU,NAM,,1. Backlog Project,,Active
505941: CABEZON EXPANSION (R (1. Backlog Project),505941,CABEZON EXPANSION (R,NAM,,1. Backlog Project,,Active
505953: ARIZONA BEVERAGE WAS (1. Backlog Project),505953,ARIZONA BEVERAGE WAS,NAM,,1. Backlog Project,,Active
505954: MONOCHLORAMINE-LABOR (1. Backlog Project),505954,MONOCHLORAMINE-LABOR,NAM,,1. Backlog Project,,Active
505958: LYBIA & RUSSIA SWRO (1. Backlog Project),505958,LYBIA & RUSSIA SWRO,NAM,,1. Backlog Project,,Active
505967: MARATHON DICKINSON N (1. Backlog Project),505967,MARATHON DICKINSON N,NAM,,1. Backlog Project,,Active
505968: RIVERSIDE CENTER MBR (1. Backlog Project),505968,RIVERSIDE CENTER MBR,NAM,,1. Backlog Project,,Active
505973: ADM CEDAR RAPIDS COG (1. Backlog Project),505973,ADM CEDAR RAPIDS COG,NAM,,1. Backlog Project,,Active
505975: HUSKY SPRUCE LAKE EA (1. Backlog Project),505975,HUSKY SPRUCE LAKE EA,NAM,,1. Backlog Project,,Active
506001: NIAGARA PITTSBURG WA (1. Backlog Project),506001,NIAGARA PITTSBURG WA,NAM,,1. Backlog Project,,Active
506003: MORRO BAY WFR-ENGINE (1. Backlog Project),506003,MORRO BAY WFR-ENGINE,NAM,,1. Backlog Project,,Active
506008: NU PURE SYDNEY CARBO (1. Backlog Project),506008,NU PURE SYDNEY CARBO,ANZ,,1. Backlog Project,,Active
506011: PRAXAIR CONVENT BOO- (1. Backlog Project),506011,PRAXAIR CONVENT BOO-,NAM,,1. Backlog Project,,Active
506014: DPSG ALLENTOWN ZULU (1. Backlog Project),506014,DPSG ALLENTOWN ZULU,NAM,,1. Backlog Project,,Active
506016: CRODA ETP FEED DESIG (1. Backlog Project),506016,CRODA ETP FEED DESIG,EUR,,1. Backlog Project,,Active
50602013: MISC-5060201376 ENG (4. Regional prgm),50602013,MISC-5060201376 ENG,GLOBAL SRV,ES Services Support ,4. Regional prgm,Non PS Proj,Active
506026: HIMMERFJARDEN MUNI M (1. Backlog Project),506026,HIMMERFJARDEN MUNI M,EUR,,1. Backlog Project,,Active
506028: HUSKY ENERGY EDAM CE (1. Backlog Project),506028,HUSKY ENERGY EDAM CE,NAM,,1. Backlog Project,,Active
506032: NRG CARLSBAD REFIRE (1. Backlog Project),506032,NRG CARLSBAD REFIRE,NAM,,1. Backlog Project,,Active
506035: CALAF BONAREA GUISSO (1. Backlog Project),506035,CALAF BONAREA GUISSO,EUR,,1. Backlog Project,,Active
506036: CONTRECOEUR PORT MBR (1. Backlog Project),506036,CONTRECOEUR PORT MBR,NAM,,1. Backlog Project,,Active
506041: ST.-JOSEPH-DU-LAC WT (1. Backlog Project),506041,ST.-JOSEPH-DU-LAC WT,NAM,,1. Backlog Project,,Active
506042: WATER CORP SUBIACO-P (1. Backlog Project),506042,WATER CORP SUBIACO-P,ANZ,,1. Backlog Project,,Active
506046: MICRON 10XHEX UPGRAD (1. Backlog Project),506046,MICRON 10XHEX UPGRAD,ANZ,,1. Backlog Project,,Active
506047: SAND ISLAND MBR PRE- (1. Backlog Project),506047,SAND ISLAND MBR PRE-,NAM,,1. Backlog Project,,Active
506048: MONTREAL BIOMETHANAT (1. Backlog Project),506048,MONTREAL BIOMETHANAT,NAM,,1. Backlog Project,,Active
506049: PRAXAIR TEXAS CITY ( (1. Backlog Project),506049,PRAXAIR TEXAS CITY (,NAM,,1. Backlog Project,,Active
506050: BRAY PARK MBR REPLAC (1. Backlog Project),506050,BRAY PARK MBR REPLAC,ANZ,,1. Backlog Project,,Active
506080: GE HC ENGINEERING-EN (1. Backlog Project),506080,GE HC ENGINEERING-EN,EUR,,1. Backlog Project,,Active
506088: SULB BAHRAIN 4.5 MLD (1. Backlog Project),506088,SULB BAHRAIN 4.5 MLD,MEA,,1. Backlog Project,,Active
506120: DUNGOG WWTP-ENGINEER (1. Backlog Project),506120,DUNGOG WWTP-ENGINEER,ANZ,,1. Backlog Project,,Active
506127: SOUTH AFRICA INENZO (1. Backlog Project),506127,SOUTH AFRICA INENZO,MEA,,1. Backlog Project,,Active
506132: ALDERNEY WTW SECONDA (1. Backlog Project),506132,ALDERNEY WTW SECONDA,,,1. Backlog Project,,Active
506138: CROSBY TX ACCELATOR- (1. Backlog Project),506138,CROSBY TX ACCELATOR-,NAM,,1. Backlog Project,,Active
506142: SOUTH AUSTIN REGIONA (1. Backlog Project),506142,SOUTH AUSTIN REGIONA,NAM,,1. Backlog Project,,Active
506148: INTEL F10 UPW POLISH (1. Backlog Project),506148,INTEL F10 UPW POLISH,NAM,,1. Backlog Project,,Active
506155: THAI OIL CFP ETP PAC (1. Backlog Project),506155,THAI OIL CFP ETP PAC,APAC,,1. Backlog Project,,Active
506157: INGREDION BKD PLANT (1. Backlog Project),506157,INGREDION BKD PLANT,ANZ,,1. Backlog Project,,Active
506168: OSTROLEKA ZLD PRE-RE (1. Backlog Project),506168,OSTROLEKA ZLD PRE-RE,EUR,,1. Backlog Project,,Active
506173: CARGILL KREFELD_ED I (1. Backlog Project),506173,CARGILL KREFELD_ED I,EUR,,1. Backlog Project,,Active
506175: SEVERN TRENT WATER S (1. Backlog Project),506175,SEVERN TRENT WATER S,EUR,,1. Backlog Project,,Active
506176: PML UF RETROFIT-ENGI (1. Backlog Project),506176,PML UF RETROFIT-ENGI,ANZ,,1. Backlog Project,,Active
506186: HESPELER WWTP ENG ON (1. Backlog Project),506186,HESPELER WWTP ENG ON,NAM,,1. Backlog Project,,Active
506203: NELSON CITY COUNCIL- (1. Backlog Project),506203,NELSON CITY COUNCIL-,ANZ,,1. Backlog Project,,Active
506207: TENOVA-TECPETROL LI (1. Backlog Project),506207,TENOVA-TECPETROL LI,NAM,,1. Backlog Project,,Active
506211: INTEL F24 EQUIPMENT (1. Backlog Project),506211,INTEL F24 EQUIPMENT,NAM,,1. Backlog Project,,Active
506218: JINGNENG ZHANGSHAN Z (1. Backlog Project),506218,JINGNENG ZHANGSHAN Z,GRC,,1. Backlog Project,,Active
506221: THALWIL V1 / MAC MBR (1. Backlog Project),506221,THALWIL V1 / MAC MBR,EUR,,1. Backlog Project,,Active
506222: INTEL SKANSKA RA PHA (1. Backlog Project),506222,INTEL SKANSKA RA PHA,NAM,,1. Backlog Project,,Active
506224: BROADCOM TOC UV UPGR (1. Backlog Project),506224,BROADCOM TOC UV UPGR,NAM,,1. Backlog Project,,Active
506226: MARK ANTHONY BREWING (1. Backlog Project),506226,MARK ANTHONY BREWING,NAM,,1. Backlog Project,,Active
506230: LLOYDMINISTER WWT PR (1. Backlog Project),506230,LLOYDMINISTER WWT PR,NAM,,1. Backlog Project,,Active
506236: WEB BONAIRE SEATECH (1. Backlog Project),506236,WEB BONAIRE SEATECH,NAM,,1. Backlog Project,,Active
506249: CAPTAINS COMMAND MBR (1. Backlog Project),506249,CAPTAINS COMMAND MBR,NAM,,1. Backlog Project,,Active
506250: SHURTAN GCC EXPANSIO (1. Backlog Project),506250,SHURTAN GCC EXPANSIO,EUR,,1. Backlog Project,,Active
506254: LAURENS COUNTY SC DW (1. Backlog Project),506254,LAURENS COUNTY SC DW,NAM,,1. Backlog Project,,Active
506255: AC TOWER EXPANSION H (1. Backlog Project),506255,AC TOWER EXPANSION H,NAM,,1. Backlog Project,,Active
506259: BASF FREEPORT MBR-EN (1. Backlog Project),506259,BASF FREEPORT MBR-EN,NAM,,1. Backlog Project,,Active
506265: CITY OF IMPERIAL WWT (1. Backlog Project),506265,CITY OF IMPERIAL WWT,NAM,,1. Backlog Project,,Active
506266: NUTRIEN DEMO PLANT-E (1. Backlog Project),506266,NUTRIEN DEMO PLANT-E,NAM,,1. Backlog Project,,Active
506268: NEXT GENERATION MEMB (1. Backlog Project),506268,NEXT GENERATION MEMB,NAM,,1. Backlog Project,,Active
506269: ANNACIS ISLAND WWTP- (1. Backlog Project),506269,ANNACIS ISLAND WWTP-,NAM,,1. Backlog Project,,Active
506271: LAM_CA03_RGL FLUORID (1. Backlog Project),506271,LAM_CA03_RGL FLUORID,NAM,,1. Backlog Project,,Active
506274: ENGINEERING COMPLETE (1. Backlog Project),506274,ENGINEERING COMPLETE,NAM,,1. Backlog Project,,Active
506279: CUMBERLAND COUNTY LA (1. Backlog Project),506279,CUMBERLAND COUNTY LA,NAM,,1. Backlog Project,,Active
506282: ENGINEERING COMPLETE (1. Backlog Project),506282,ENGINEERING COMPLETE,NAM,,1. Backlog Project,,Active
506283: PROJECT SYSTEMS - IN (1. Backlog Project),506283,PROJECT SYSTEMS - IN,INDIA,,1. Backlog Project,,Active
506284: CHEMOURS FAYETTEVILL (1. Backlog Project),506284,CHEMOURS FAYETTEVILL,NAM,,1. Backlog Project,,Active
506290: CITY OF BUFORD COMMI (1. Backlog Project),506290,CITY OF BUFORD COMMI,NAM,,1. Backlog Project,,Active
506304: NIAGARA S.R.L COMMIS (1. Backlog Project),506304,NIAGARA S.R.L COMMIS,EUR,,1. Backlog Project,,Active
506311: ASTORIA GENERATING - (1. Backlog Project),506311,ASTORIA GENERATING -,NAM,,1. Backlog Project,,Active
506320: TAINAN YONGKANG RO E (1. Backlog Project),506320,TAINAN YONGKANG RO E,GRC,,1. Backlog Project,,Active
506324: MARK ANTHONY BREWERY (1. Backlog Project),506324,MARK ANTHONY BREWERY,NAM,,1. Backlog Project,,Active
506326: BAPCO WWTP BAHRAIN P (1. Backlog Project),506326,BAPCO WWTP BAHRAIN P,MEA,,1. Backlog Project,,Active
506333: COLD SPRINGS BREWING (1. Backlog Project),506333,COLD SPRINGS BREWING,NAM,,1. Backlog Project,,Active
506356: LEAP UPGRADE SABRITA (1. Backlog Project),506356,LEAP UPGRADE SABRITA,LAM,,1. Backlog Project,,Active
"506357: CITY OF CANTON, GA P (1. Backlog Project)",506357,"CITY OF CANTON, GA P",NAM,,1. Backlog Project,,Active
506372: CSU MOUNTAIN CAMPUS- (1. Backlog Project),506372,CSU MOUNTAIN CAMPUS-,NAM,,1. Backlog Project,,Active
506375: AZ LAGOON DESALINATI (1. Backlog Project),506375,AZ LAGOON DESALINATI,EUR,,1. Backlog Project,,Active
506376: XOM ALGAE HARVESTER (1. Backlog Project),506376,XOM ALGAE HARVESTER,NAM,,1. Backlog Project,,Active
506377: SHINTECH UT-2 RAW WA (1. Backlog Project),506377,SHINTECH UT-2 RAW WA,NAM,,1. Backlog Project,,Active
506378: PML WASTEWATER BED-E (1. Backlog Project),506378,PML WASTEWATER BED-E,APAC,,1. Backlog Project,,Active
506386: SUPER RO 600 2020 BU (1. Backlog Project),506386,SUPER RO 600 2020 BU,NAM,,1. Backlog Project,,Active
506389: JSR MICRO OR THERMA- (1. Backlog Project),506389,JSR MICRO OR THERMA-,NAM,,1. Backlog Project,,Active
506393: MAYFIELD SPRINGS DEV (1. Backlog Project),506393,MAYFIELD SPRINGS DEV,NAM,,1. Backlog Project,,Active
506394: PLUMSTED-PRE-RELEASE (1. Backlog Project),506394,PLUMSTED-PRE-RELEASE,NAM,,1. Backlog Project,,Active
506395: REFRESCO SOUTH CAROL (1. Backlog Project),506395,REFRESCO SOUTH CAROL,NAM,,1. Backlog Project,,Active
506397: TABLE MOUNTAIN RANCH (1. Backlog Project),506397,TABLE MOUNTAIN RANCH,NAM,,1. Backlog Project,,Active
506407: DRINK PAK GREENFIELD (1. Backlog Project),506407,DRINK PAK GREENFIELD,,,1. Backlog Project,,Active
506412: 2020 EUROPEAN FLEET (1. Backlog Project),506412,2020 EUROPEAN FLEET,EUR,,1. Backlog Project,,Active
506421: P&D - UV PD 40HO G2 (1. Backlog Project),506421,P&D - UV PD 40HO G2,NAM,,1. Backlog Project,,Active
506444: OXFORD COUNTY DRUMBO (1. Backlog Project),506444,OXFORD COUNTY DRUMBO,NAM,,1. Backlog Project,,Active
506445: MISC-00506445 UV PD (1. Backlog Project),506445,MISC-00506445 UV PD,NAM,,1. Backlog Project,,Active
506446: P&D - UV PD S COSTOU (1. Backlog Project),506446,P&D - UV PD S COSTOU,NAM,,1. Backlog Project,,Active
506453: MISC-SUEZ 00506453 P (1. Backlog Project),506453,MISC-SUEZ 00506453 P,NAM,,1. Backlog Project,,Active
506456: BAHRAIN STEEL COMPAN (1. Backlog Project),506456,BAHRAIN STEEL COMPAN,MEA,,1. Backlog Project,,Active
506466: SOUTH 32 APPIN NORTH (1. Backlog Project),506466,SOUTH 32 APPIN NORTH,ANZ,,1. Backlog Project,,Active
506468: CAIRNS NORTH AND SOU (1. Backlog Project),506468,CAIRNS NORTH AND SOU,ANZ,,1. Backlog Project,,Active
506476: COKE COLA GRAND RAPI (1. Backlog Project),506476,COKE COLA GRAND RAPI,NAM,,1. Backlog Project,,Active
506481: CARLSBAD ENGINEERING (1. Backlog Project),506481,CARLSBAD ENGINEERING,NAM,,1. Backlog Project,,Active
506489: LIBERTY HILL WWTP-OV (1. Backlog Project),506489,LIBERTY HILL WWTP-OV,NAM,,1. Backlog Project,,Active
506493: AL ZAHIA CORODEX-ENG (1. Backlog Project),506493,AL ZAHIA CORODEX-ENG,MEA,,1. Backlog Project,,Active
506498: SVOBODNY MUNI PLANT (1. Backlog Project),506498,SVOBODNY MUNI PLANT,EUR,,1. Backlog Project,,Active
506499: STANSTEAD ROCK ISLAN (1. Backlog Project),506499,STANSTEAD ROCK ISLAN,NAM,,1. Backlog Project,,Active
506505: CITY OF BABBITT WWTP (1. Backlog Project),506505,CITY OF BABBITT WWTP,NAM,,1. Backlog Project,,Active
506506: SPSC-CARD READER WAR (1. Backlog Project),506506,SPSC-CARD READER WAR,NAM,,1. Backlog Project,,Active
506517: PBC CHEVERLY MD LTS- (1. Backlog Project),506517,PBC CHEVERLY MD LTS-,NAM,,1. Backlog Project,,Active
506521: FARLEY WWTP-ENGINEER (1. Backlog Project),506521,FARLEY WWTP-ENGINEER,ANZ,,1. Backlog Project,,Active
506526: MONZAMBANO WWTP-ENGI (1. Backlog Project),506526,MONZAMBANO WWTP-ENGI,EUR,,1. Backlog Project,,Active
506527: XCEL CHEROKEE WTP-EN (1. Backlog Project),506527,XCEL CHEROKEE WTP-EN,NAM,,1. Backlog Project,,Active
506535: POOLER WWTF PRE-RELE (1. Backlog Project),506535,POOLER WWTF PRE-RELE,NAM,,1. Backlog Project,,Active
506554: SK HYNIX-PRE-RELEASE (1. Backlog Project),506554,SK HYNIX-PRE-RELEASE,GRC,,1. Backlog Project,,Active
506556: MEKOROT SHAFDAN OZON (1. Backlog Project),506556,MEKOROT SHAFDAN OZON,EUR,,1. Backlog Project,,Active
506559: PARADISE TOWNSHIP MB (1. Backlog Project),506559,PARADISE TOWNSHIP MB,NAM,,1. Backlog Project,,Active
506561: EXELON GINNA RENEWAL (1. Backlog Project),506561,EXELON GINNA RENEWAL,NAM,,1. Backlog Project,,Active
506563: EXELON PEACH BOTTOM (1. Backlog Project),506563,EXELON PEACH BOTTOM,NAM,,1. Backlog Project,,Active
506572: FSZLD - MALLINCKRODT (1. Backlog Project),506572,FSZLD - MALLINCKRODT,NAM,,1. Backlog Project,,Active
506592: Olivenhain(1. Backlog Project),506592,Olivenhain,NAM,,1. Backlog Project,PS Proj,Active
"506608: COLLINSVILLE, OK, WT (1. Backlog Project)",506608,"COLLINSVILLE, OK, WT",NAM,,1. Backlog Project,,Active
506616: ONE COMMERCIAL BPED (1. Backlog Project),506616,ONE COMMERCIAL BPED,EUR,,1. Backlog Project,,Active
506618: ARA RHEIN HIGH SALIN (1. Backlog Project),506618,ARA RHEIN HIGH SALIN,EUR,,1. Backlog Project,,Active
506629: SANTA MONICA SWIP-EN (1. Backlog Project),506629,SANTA MONICA SWIP-EN,NAM,,1. Backlog Project,,Active
506641: BRUNSWICK COUNTY NC- (1. Backlog Project),506641,BRUNSWICK COUNTY NC-,NAM,,1. Backlog Project,,Active
506649: GLOBAL FOUNDARIES F9 (1. Backlog Project),506649,GLOBAL FOUNDARIES F9,NAM,,1. Backlog Project,,Active
506659: CENTRAL INTERCEPTOR (1. Backlog Project),506659,CENTRAL INTERCEPTOR,ANZ,,1. Backlog Project,,Active
506664: INTEL F34 BLUE JAYSI (1. Backlog Project),506664,INTEL F34 BLUE JAYSI,NAM,,1. Backlog Project,,Active
506671: SOUTH AFRICA ZANDVLI (1. Backlog Project),506671,SOUTH AFRICA ZANDVLI,EUR,,1. Backlog Project,,Active
506673: SPR GILA RIVER-ENGIN (1. Backlog Project),506673,SPR GILA RIVER-ENGIN,NAM,,1. Backlog Project,,Active
506677: WAIKATO BLOWERS-ENGI (1. Backlog Project),506677,WAIKATO BLOWERS-ENGI,ANZ,,1. Backlog Project,,Active
506691: SAUDI NATIONAL WATER (1. Backlog Project),506691,SAUDI NATIONAL WATER,MEA,,1. Backlog Project,,Active
506692: FORMOSA UTILITY VENT (1. Backlog Project),506692,FORMOSA UTILITY VENT,NAM,,1. Backlog Project,,Active
506696: INTEL RA4 RELEASE 2C (1. Backlog Project),506696,INTEL RA4 RELEASE 2C,NAM,,1. Backlog Project,,Active
506697: NESTLE TRINIDAD & TO (1. Backlog Project),506697,NESTLE TRINIDAD & TO,NAM,,1. Backlog Project,,Active
506699: NIAGARA KENOSHA EXPA (1. Backlog Project),506699,NIAGARA KENOSHA EXPA,NAM,,1. Backlog Project,,Active
506702: WEB ARUBA AQUIONICS (1. Backlog Project),506702,WEB ARUBA AQUIONICS,EUR,,1. Backlog Project,,Active
506704: CITY OF PROVO MBR PR (1. Backlog Project),506704,CITY OF PROVO MBR PR,NAM,,1. Backlog Project,,Active
506716: WESTON WV PIRLSA PAK (1. Backlog Project),506716,WESTON WV PIRLSA PAK,NAM,,1. Backlog Project,,Active
506722: CREE MOHAWK VALLEY U (1. Backlog Project),506722,CREE MOHAWK VALLEY U,NAM,,1. Backlog Project,,Active
506725: LEPRINO FOODS ROSWEL (1. Backlog Project),506725,LEPRINO FOODS ROSWEL,NAM,,1. Backlog Project,,Active
506734: MICRON MEMORY JAPAN (1. Backlog Project),506734,MICRON MEMORY JAPAN,GRC,,1. Backlog Project,,Active
506737: ADANI MANGALORE ETP- (1. Backlog Project),506737,ADANI MANGALORE ETP-,INDIA,,1. Backlog Project,,Active
506750: PROCTOR & GAMBLE CAP (1. Backlog Project),506750,PROCTOR & GAMBLE CAP,NAM,,1. Backlog Project,,Active
506751: PECO FOODS WEST POIN (1. Backlog Project),506751,PECO FOODS WEST POIN,NAM,,1. Backlog Project,,Active
506752: ENGLISH RIVER FIRST (1. Backlog Project),506752,ENGLISH RIVER FIRST,NAM,,1. Backlog Project,,Active
506763: M-PAK 60 FLEET ADDIT (1. Backlog Project),506763,M-PAK 60 FLEET ADDIT,ANZ,,1. Backlog Project,,Active
506766: WAIKATO 2A EARLY WOR (1. Backlog Project),506766,WAIKATO 2A EARLY WOR,ANZ,,1. Backlog Project,,Active
506772: HILL TOP ENERGY ( NE (1. Backlog Project),506772,HILL TOP ENERGY ( NE,NAM,,1. Backlog Project,,Active
506782: S&B ENTERPRISE PDH-E (1. Backlog Project),506782,S&B ENTERPRISE PDH-E,NAM,,1. Backlog Project,,Active
506783: KINLOCH MBR EQUIPMEN (1. Backlog Project),506783,KINLOCH MBR EQUIPMEN,ANZ,,1. Backlog Project,,Active
506785: OCEAN STATE POWER SE (1. Backlog Project),506785,OCEAN STATE POWER SE,NAM,,1. Backlog Project,,Active
506789: NTU ANMBR PILOT-ENGI (1. Backlog Project),506789,NTU ANMBR PILOT-ENGI,APAC,,1. Backlog Project,,Active
506799: HYPERION MBR DEMO-EN (1. Backlog Project),506799,HYPERION MBR DEMO-EN,NAM,,1. Backlog Project,,Active
506810: SEATECH-E-105 (ECON (1. Backlog Project),506810,SEATECH-E-105 (ECON,MEA,,1. Backlog Project,,Active
506812: PAPKURA WTP ENG - CL (1. Backlog Project),506812,PAPKURA WTP ENG - CL,ANZ,,1. Backlog Project,,Active
506816: CENOVUS BRUDERHEIM-E (1. Backlog Project),506816,CENOVUS BRUDERHEIM-E,NAM,,1. Backlog Project,,Active
506840: DANONE EDR (SPAIN) - (1. Backlog Project),506840,DANONE EDR (SPAIN) -,EUR,,1. Backlog Project,,Active
506856: NESTLE INDIA LTD (NA (1. Backlog Project),506856,NESTLE INDIA LTD (NA,INDIA,,1. Backlog Project,,Active
506860: WAIKATO 50 WTP MBR-C (1. Backlog Project),506860,WAIKATO 50 WTP MBR-C,ANZ,,1. Backlog Project,,Active
506863: AFIPSKIY NPZ WWTP-PR (1. Backlog Project),506863,AFIPSKIY NPZ WWTP-PR,EUR,,1. Backlog Project,,Active
506879: NIAGARA MESA WATER F (1. Backlog Project),506879,NIAGARA MESA WATER F,NAM,,1. Backlog Project,,Active
506880: NIAGARA KANSAS CITY (1. Backlog Project),506880,NIAGARA KANSAS CITY,NAM,,1. Backlog Project,,Active
506883: EXXON MBR UPGRADE-EN (1. Backlog Project),506883,EXXON MBR UPGRADE-EN,ANZ,,1. Backlog Project,,Active
506892: ADANI MUNDRA 600 KLD (1. Backlog Project),506892,ADANI MUNDRA 600 KLD,INDIA,,1. Backlog Project,,Active
506908: SOUTH COUNTY REGIONA (1. Backlog Project),506908,SOUTH COUNTY REGIONA,NAM,,1. Backlog Project,,Active
506920: MOUNT PLEASANT TN-PR (1. Backlog Project),506920,MOUNT PLEASANT TN-PR,NAM,,1. Backlog Project,,Active
506922: THOMPSON'S STATION-P (1. Backlog Project),506922,THOMPSON'S STATION-P,NAM,,1. Backlog Project,,Active
506926: T&M- INTEL HUPW POR (1. Backlog Project),506926,T&M- INTEL HUPW POR,NAM,,1. Backlog Project,,Active
506937: PEPSICO GUATEMALA-EN (1. Backlog Project),506937,PEPSICO GUATEMALA-EN,LAM,,1. Backlog Project,,Active
506941: PEPSICO DAMMAM-PRE-R (1. Backlog Project),506941,PEPSICO DAMMAM-PRE-R,MEA,,1. Backlog Project,,Active
506942: SUPER RO 600 QTY 4 2 (1. Backlog Project),506942,SUPER RO 600 QTY 4 2,NAM,,1. Backlog Project,,Active
506945: WINONA WTP REHAB-ENG (1. Backlog Project),506945,WINONA WTP REHAB-ENG,NAM,,1. Backlog Project,,Active
506948: MPAK80 UF QTY 4 FLEE (1. Backlog Project),506948,MPAK80 UF QTY 4 FLEE,NAM,,1. Backlog Project,,Active
506954: LEONI MBR RETROFIT-C (1. Backlog Project),506954,LEONI MBR RETROFIT-C,NAM,,1. Backlog Project,,Active
5069702: ORIGIN STO TECHNI (1. Backlog Project),5069702,ORIGIN STO TECHNI,,,1. Backlog Project,,Active
506973: MP MATERIAL PASS ORD (1. Backlog Project),506973,MP MATERIAL PASS ORD,NAM,,1. Backlog Project,,Active
506980: SA WATER EYRE PENINS (1. Backlog Project),506980,SA WATER EYRE PENINS,ANZ,,1. Backlog Project,,Active
506995: IL NOBLE ENERGY LEVI (1. Backlog Project),506995,IL NOBLE ENERGY LEVI,EUR,,1. Backlog Project,,Active
507000: ERI YARA MONTOIR-ENG (1. Backlog Project),507000,ERI YARA MONTOIR-ENG,EUR,,1. Backlog Project,,Active
507012: BAHRAIN STEEL 12 YEA (1. Backlog Project),507012,BAHRAIN STEEL 12 YEA,MEA,,1. Backlog Project,,Active
"507022: GREENVILLE, NC - WTP (1. Backlog Project)",507022,"GREENVILLE, NC - WTP",NAM,,1. Backlog Project,,Active
507039: NIAGARA SEGUIN ACID (1. Backlog Project),507039,NIAGARA SEGUIN ACID,NAM,,1. Backlog Project,,Active
507044: SA WATER UF REPLACEM (1. Backlog Project),507044,SA WATER UF REPLACEM,ANZ,,1. Backlog Project,,Active
507046: VAIL PASS REST AREA- (1. Backlog Project),507046,VAIL PASS REST AREA-,NAM,,1. Backlog Project,,Active
507082: PANHANDLE PURE(PLAIN (1. Backlog Project),507082,PANHANDLE PURE(PLAIN,NAM,,1. Backlog Project,,Active
507090: PAPAKURA PERMANENT D (1. Backlog Project),507090,PAPAKURA PERMANENT D,ANZ,,1. Backlog Project,,Active
507103: COKE NASHVILLE TREAT (1. Backlog Project),507103,COKE NASHVILLE TREAT,NAM,,1. Backlog Project,,Active
507104: ACE FARM OZONE SYSTE (1. Backlog Project),507104,ACE FARM OZONE SYSTE,APAC,,1. Backlog Project,,Active
507107: ACE FARM OZONE SYSTE (1. Backlog Project),507107,ACE FARM OZONE SYSTE,APAC,,1. Backlog Project,,Active
507108: ACE FARM OZONE SYSTE (1. Backlog Project),507108,ACE FARM OZONE SYSTE,APAC,,1. Backlog Project,,Active
507130: INFOSYS KANAKPURA-EN (1. Backlog Project),507130,INFOSYS KANAKPURA-EN,INDIA,,1. Backlog Project,,Active
507133: LUCKETTS ELEMENTARY (1. Backlog Project),507133,LUCKETTS ELEMENTARY,NAM,,1. Backlog Project,,Active
507134: SOUTH DAVIS NORTH PL (1. Backlog Project),507134,SOUTH DAVIS NORTH PL,NAM,,1. Backlog Project,,Active
507135: CONESTOGA MEAT PACKE (1. Backlog Project),507135,CONESTOGA MEAT PACKE,NAM,,1. Backlog Project,,Active
507140: KLD JAYADEVA STP PLA (1. Backlog Project),507140,KLD JAYADEVA STP PLA,INDIA,,1. Backlog Project,,Active
507141: HYLIFE EXPANSION 3RD (1. Backlog Project),507141,HYLIFE EXPANSION 3RD,NAM,,1. Backlog Project,,Active
507145: FORMOSA PLACTICS BAT (1. Backlog Project),507145,FORMOSA PLACTICS BAT,NAM,,1. Backlog Project,,Active
507150: BOO3 GTM VACUUM SYST (1. Backlog Project),507150,BOO3 GTM VACUUM SYST,NAM,,1. Backlog Project,,Active
507153: IRAQ ZUBAIR FIELD-EN (1. Backlog Project),507153,IRAQ ZUBAIR FIELD-EN,MEA,,1. Backlog Project,,Active
507154: SOUTH32 APPIN NORTH (1. Backlog Project),507154,SOUTH32 APPIN NORTH,ANZ,,1. Backlog Project,,Active
507182: CHANGI LMI LEAP UPGR (1. Backlog Project),507182,CHANGI LMI LEAP UPGR,ANZ,,1. Backlog Project,,Active
507183: IRKUTSK OIL COMPANY- (1. Backlog Project),507183,IRKUTSK OIL COMPANY-,EUR,,1. Backlog Project,,Active
507186: ULTRA PURE WATER (UP (1. Backlog Project),507186,ULTRA PURE WATER (UP,NAM,,1. Backlog Project,,Active
507189: UNIX PACKING LLC PRE (1. Backlog Project),507189,UNIX PACKING LLC PRE,NAM,,1. Backlog Project,,Active
